"Date","Price","Open","High","Low","Vol.","Change %"
"12/04/2022","139.115","134.700","149.245","134.700","","2.62%"
"11/27/2022","135.560","123.280","146.395","123.280","","9.00%"
"11/20/2022","124.370","116.130","129.620","116.130","","7.67%"
"11/13/2022","115.510","113.705","124.105","112.555","","18.04%"
"11/06/2022","97.855","109.685","118.145","97.855","","-14.75%"
"10/30/2022","114.785","123.350","125.865","114.785","","2.26%"
"10/23/2022","112.244","99.170","112.244","99.170","","-1.17%"
"10/16/2022","113.575","127.980","127.980","112.510","","-20.01%"
"10/09/2022","141.995","154.120","160.190","141.995","","-9.10%"
"10/02/2022","156.205","169.910","175.710","156.205","","-17.26%"
"09/25/2022","188.800","173.835","207.185","173.835","","1.78%"
"09/18/2022","185.495","182.260","194.260","182.260","","-1.22%"
"09/11/2022","187.795","190.590","217.880","187.795","0.01K","-9.32%"
"09/04/2022","207.090","239.840","239.840","207.090","","-3.53%"
"08/28/2022","214.665","272.605","272.605","214.665","","-36.71%"
"08/21/2022","339.195","276.750","339.195","269.050","","38.70%"
"08/14/2022","244.550","220.110","244.550","220.110","","18.65%"
"08/07/2022","206.110","193.055","208.110","192.185","","4.99%"
"07/31/2022","196.320","200.795","205.175","196.320","","2.83%"
"07/24/2022","190.915","176.615","205.225","176.615","","19.42%"
"07/17/2022","159.865","157.260","159.865","154.455","","0.19%"
"07/10/2022","159.565","164.520","180.505","159.565","","-8.93%"
"07/03/2022","175.210","165.075","183.185","165.075","","18.56%"
"06/26/2022","147.785","129.460","147.785","129.175","","15.00%"
"06/19/2022","128.505","125.560","133.345","125.560","","9.14%"
"06/12/2022","117.740","83.400","124.365","83.400","","42.78%"
"06/05/2022","82.465","83.005","84.880","79.405","0.03K","-0.76%"
"05/29/2022","83.100","94.005","94.005","83.100","","-4.35%"
"05/22/2022","86.875","85.220","86.875","84.840","0.07K","-1.17%"
"05/15/2022","87.900","92.860","96.475","87.900","0.01K","-9.27%"
"05/08/2022","96.880","96.315","106.700","94.010","0.05K","-4.75%"
"05/01/2022","101.710","97.050","106.510","97.050","","2.27%"
"04/24/2022","99.450","92.835","107.425","92.835","","4.82%"
"04/17/2022","94.875","95.620","100.060","93.770","0.00K","-0.78%"
"04/10/2022","95.620","100.135","105.325","95.620","0.00K","-7.95%"
"04/03/2022","103.880","109.525","109.525","103.880","0.01K","-7.37%"
"03/27/2022","112.150","97.600","125.905","97.600","0.41K","10.74%"
"03/20/2022","101.270","98.720","117.000","98.720","0.08K","-3.59%"
"03/13/2022","105.045","114.520","121.690","102.625","0.04K","-19.95%"
"03/06/2022","131.230","227.200","227.200","126.400","0.01K","-31.85%"
"02/27/2022","192.550","116.490","192.550","103.665","0.49K","103.92%"
"02/20/2022","94.422","71.525","135.000","71.525","0.51K","28.01%"
"02/13/2022","73.760","83.600","83.600","68.515","0.63K","-4.73%"
"02/06/2022","77.425","78.800","82.000","72.470","0.78K","-6.32%"
"01/30/2022","82.650","84.850","84.850","74.800","1.30K","-10.22%"
"01/23/2022","92.062","88.605","95.510","88.605","0.56K","16.56%"
"01/16/2022","78.980","83.275","84.600","71.000","0.28K","-9.19%"
"01/09/2022","86.970","86.500","91.800","72.000","0.45K","-1.37%"
"01/02/2022","88.175","80.435","97.020","80.435","0.55K","25.35%"
"12/26/2021","70.345","100.000","106.590","67.365","0.26K","-46.94%"
"12/19/2021","132.580","140.820","176.655","129.360","1.04K","-3.17%"
"12/12/2021","136.915","115.400","143.000","112.440","3.65K","29.44%"
"12/05/2021","105.775","86.600","107.750","86.600","1.36K","18.21%"
"11/28/2021","89.480","94.250","98.000","89.200","0.80K","1.95%"
"11/21/2021","87.772","84.250","94.400","81.950","0.18K","0.74%"
"11/14/2021","87.125","78.295","99.850","78.285","0.21K","15.13%"
"11/07/2021","75.675","80.770","80.770","64.505","0.18K","2.23%"
"10/31/2021","74.025","63.590","80.045","62.840","0.27K","14.12%"
"10/24/2021","64.865","91.000","91.000","70.000","0.21K","-25.73%"
"10/17/2021","87.340","89.350","100.400","87.000","0.26K","-6.74%"
"10/10/2021","93.650","92.000","104.000","83.500","1.30K","6.90%"
"10/03/2021","87.605","96.400","132.930","83.620","0.75K","-6.43%"
"09/26/2021","93.625","75.000","97.590","75.000","0.68K","33.29%"
"09/19/2021","70.240","65.725","75.380","68.000","2.37K","7.89%"
"09/12/2021","65.103","59.350","77.275","59.350","3.49K","12.41%"
"09/05/2021","57.916","53.075","57.995","51.285","5.83K","12.45%"
"08/29/2021","51.505","48.850","52.900","48.580","4.95K","7.74%"
"08/22/2021","47.806","42.275","47.806","40.610","2.06K","13.98%"
"08/15/2021","41.944","46.250","48.215","40.100","2.89K","-6.02%"
"08/08/2021","44.630","43.095","46.525","42.450","4.15K","3.50%"
"08/01/2021","43.120","42.100","44.570","41.120","5.47K","5.80%"
"07/25/2021","40.755","36.140","40.880","35.910","2.35K","14.72%"
"07/18/2021","35.525","36.450","36.810","34.625","2.43K","1.97%"
"07/11/2021","34.840","35.235","36.150","33.405","3.63K","-4.89%"
"07/04/2021","36.632","37.250","38.365","31.470","4.44K","2.25%"
"06/27/2021","35.827","32.100","36.955","31.750","4.37K","10.63%"
"06/20/2021","32.385","29.970","32.400","29.305","3.34K","10.13%"
"06/13/2021","29.405","29.100","29.610","27.700","4.85K","5.60%"
"06/06/2021","27.845","25.900","28.725","25.900","2.82K","7.95%"
"05/30/2021","25.795","25.180","26.250","25.180","2.67K","3.47%"
